id;point_id;site;date;lon;lat;TD_cm;;;;
212;RP053-2;2;2018-07-31;21.582582;69.020019;33;;;;
213;RP053-3;2;2018-07-31;21.582795;69.020016;50;;;;
214;RP053-4;2;2018-07-31;21.582736;69.0199;35;;;;
215;RP051-1;2;2018-07-31;21.579847;69.019957;35;;;;
216;RP051-2;2;2018-07-31;21.579502;69.01994;40;;;;
217;RP051-3;2;2018-07-31;21.579835;69.020045;38;;;;
218;RP051-4;2;2018-07-31;21.579477;69.019994;39;;;;
219;RP051-5;2;2018-07-31;21.579047;69.019981;40;;;;
220;RP070-1;2;2018-07-31;21.577489;69.019764;30;;;;
221;RP070-2;2;2018-07-31;21.577283;69.019842;40;;;;
222;RP070-3;2;2018-07-31;21.577045;69.019756;41;;;;
223;RP070-4;2;2018-07-31;21.576696;69.01963;37;;;;
224;RP070-5;2;2018-07-31;21.576381;69.019594;35;;;;
225;RP070-6;2;2018-07-31;21.576309;69.019743;29;;;;
226;RP070-7;2;2018-07-31;21.576445;69.019875;34;;;;
227;RP070-8;2;2018-07-31;21.576037;69.019913;37;;;;
228;RP057-1;2;2018-07-28;21.57812961;69.01914105;37;;;;
229;RP057-2;2;2018-07-28;21.57840858;69.01904852;40;;;;
230;RP057-3;2;2018-07-28;21.57887418;69.01913094;44;;;;
231;RP057-4;2;2018-07-28;21.57927573;69.01914284;34;;;;
232;RP057-5;2;2018-07-28;21.57912641;69.01935393;38;;;;
233;RP057-10;2;2018-07-28;21.58038688;69.0194261;30;;;;
234;RP059-2;2;2018-07-31;21.58136708;69.0189323;48;;;;
235;RP059-3;2;2018-07-31;21.58102124;69.01897133;35;;;;
236;RP059-4;2;2018-07-31;21.58067007;69.01901555;35;;;;
237;RP059-5;2;2018-07-31;21.58070283;69.01915197;39;;;;
238;RP059-6;2;2018-07-31;21.58041881;69.01926155;40;;;;
239;RP058-1;2;2018-07-31;21.57987374;69.01919555;35;;;;
240;RP058-2;2;2018-07-31;21.58011215;69.01915644;37;;;;
241;RP058-3;2;2018-07-31;21.5799273;69.01904955;40;;;;
242;RP058-4;2;2018-07-31;21.5800473;69.01895287;37;;;;
243;RP058-5;2;2018-07-31;21.58028075;69.01905471;38;;;;
244;RP062-1;2;2018-07-31;21.58114315;69.01944849;40;;;;
245;RP062-2;2;2018-07-31;21.5814862;69.01946404;43;;;;
246;RP062-3;2;2018-07-31;21.581763;69.019336;46;;;;
247;RP062-4;2;2018-07-31;21.58144;69.01924;47;;;;
248;RP062-5;2;2018-07-31;21.582078;69.019235;42;;;;
249;RP062-6;2;2018-07-31;21.582012;69.019048;38;;;;
250;RP062-7;2;2018-07-31;21.582244;69.019115;49;;;;
251;RP062-8;2;2018-07-31;21.582201;69.019347;43;;;;
252;RP062-9;2;2018-07-31;21.582547;69.01931;40;;;;
253;RP062-10;2;2018-07-31;21.582674;69.019144;36;;;;
254;RP062-11;2;2018-07-31;21.582582;69.019017;37;;;;
255;RP062-12;2;2018-07-31;21.582965;69.019112;41;;;;
256;RP062-13;2;2018-07-31;21.583282;69.019112;41;;;;
257;RP062-14;2;2018-07-31;21.582907;69.019243;38;;;;
258;RP062-15;2;2018-07-31;21.583344;69.019239;34;;;;
259;RP062-16;2;2018-07-31;21.583631;69.019353;40;;;;
260;RP062-17;2;2018-07-31;21.583513;69.019492;32;;;;
261;RP062-18;2;2018-07-31;21.583275;69.019366;37;;;;
262;RP062-19;2;2018-07-31;21.582309;69.019476;47;;;;
263;RP085-2;2;2018-07-26;21.628634;69.019874;31;;;;
264;RP085-3;2;2018-07-26;21.62871;69.01997;28;;;;
265;RP085-4;2;2018-07-26;21.628636;69.02002;28;;;;
266;RP085-5;2;2018-07-26;21.628813;69.020077;29;;;;
267;RP085-6;2;2018-07-26;21.628935;69.020166;39;;;;
268;RP085-7;2;2018-07-26;21.629113;69.020217;41;;;;
269;RP083-1;2;2018-07-26;21.629488;69.019947;30;;;;
270;RP083-2;2;2018-07-26;21.62956;69.019975;32;;;;
271;RP082-1;2;2018-07-26;21.630104;69.020094;32;;;;
272;RP082-2;2;2018-07-26;21.630163;69.020154;36;;;;
273;RP082-3;2;2018-07-26;21.630418;69.020054;23;;;;
274;RP082-4;2;2018-07-26;21.630591;69.020059;30;;;;
275;RP088-5;2;2018-07-26;21.630734;69.01997;33;;;;
276;RP088-6;2;2018-07-26;21.63085;69.019879;36;;;;
277;RP088-8;2;2018-07-26;21.631063;69.019914;36;;;;
278;RP087-2;2;2018-07-26;21.631706;69.019939;37;;;;
279;REKE-21;2;2018-07-27;21.589162;69.018785;39;;;;
280;REKE-22;2;2018-07-27;21.588794;69.018831;40;;;;
281;REKE-23;2;2018-07-27;21.588154;69.018765;39;;;;
282;REKE-24;2;2018-07-27;21.588782;69.018591;36;;;;
283;RP060-1;2;2018-07-31;21.58312348;69.01846853;42;;;;
284;RP060-2;2;2018-07-31;21.583188;69.01853594;39;;;;
285;RP060-3;2;2018-07-31;21.58304126;69.01849238;40;;;;
286;RP061-1;2;2018-07-31;21.58264571;69.01846031;40;;;;
287;RP061-2;2;2018-07-31;21.58241268;69.01846305;40;;;;
288;RP061-3;2;2018-07-31;21.5824528;69.01857351;45;;;;
289;RP061-4;2;2018-07-31;21.5824236;69.01866489;45;;;;
290;RP061-5;2;2018-07-31;21.5824235;69.0188234;37;;;;
291;RP059-1;2;2018-07-31;21.58166335;69.01886364;40;;;;
292;RP079-1;2;2018-07-26;21.625363;69.01924;39;;;;
293;RP079-2;2;2018-07-26;21.625711;69.019287;38;;;;
294;RP079-3;2;2018-07-26;21.62584;69.019413;34;;;;
295;RP079-4;2;2018-07-26;21.625536;69.019356;48;;;;
296;RP079-5;2;2018-07-26;21.625347;69.019378;41;;;;
297;RP089-1;2;2018-07-26;21.628086;69.019319;26;;;;
298;RP089-2;2;2018-07-26;21.628325;69.019366;27;;;;
299;RP089-3;2;2018-07-26;21.628373;69.019335;28;;;;
300;RP090-1;2;2018-07-26;21.628612;69.019278;26;;;;
301;RP090-2;2;2018-07-26;21.628646;69.01926;35;;;;
302;RP091-1;2;2018-07-26;21.628719;69.019366;36;;;;
303;RP091-2;2;2018-07-26;21.628693;69.019462;28;;;;
304;RP091-3;2;2018-07-26;21.628544;69.019509;27;;;;
305;RP091-4;2;2018-07-26;21.628643;69.019557;28;;;;
306;RP091-5;2;2018-07-26;21.628541;69.019625;28;;;;
307;RP091-6;2;2018-07-26;21.628865;69.019608;26;;;;
308;RP091-7;2;2018-07-26;21.62908;69.019589;31;;;;
309;RP091-8;2;2018-07-26;21.629251;69.01959;28;;;;
310;RP091-9;2;2018-07-26;21.629509;69.019523;30;;;;
311;RP091-10;2;2018-07-26;21.629545;69.01946;35;;;;
312;RP091-11;2;2018-07-26;21.629403;69.019682;29;;;;
313;RP091-12;2;2018-07-26;21.629592;69.019727;30;;;;
314;RP091-13;2;2018-07-26;21.629726;69.01969;31;;;;
315;RP091-14;2;2018-07-26;21.630041;69.019634;40;;;;
316;RP091-15;2;2018-07-26;21.630182;69.019585;34;;;;
317;RP085-1;2;2018-07-26;21.628394;69.019746;27;;;;
318;RP088-7;2;2018-07-26;21.631121;69.019834;34;;;;
319;RP087-1;2;2018-07-26;21.631684;69.019871;30;;;;
320;REKE-10;2;2018-07-27;21.589456;69.01797;33;;;;
321;REKE-15;2;2018-07-27;21.587858;69.018039;35;;;;
322;REKE-16;2;2018-07-27;21.587541;69.017961;34;;;;
323;REKE-17;2;2018-07-27;21.587092;69.018004;37;;;;
324;REKE-18;2;2018-07-27;21.588318;69.018222;28;;;;
325;REKE-19;2;2018-07-27;21.588816;69.018365;46;;;;
326;REKE-20;2;2018-07-27;21.589121;69.018537;41;;;;
327;REKE-25;2;2018-07-27;21.588492;69.018469;37;;;;
328;REKE-1;2;2018-07-27;21.590099;69.017631;41;;;;
329;REKE-2;2;2018-07-27;21.590544;69.017724;40;;;;
330;REKE-3;2;2018-07-27;21.590082;69.017804;40;;;;
331;REKE-4;2;2018-07-27;21.58971;69.017872;45;;;;
332;REKE-5;2;2018-07-27;21.589448;69.017677;32;;;;
333;REKE-6;2;2018-07-27;21.589418;69.01765;30;;;;
334;REKE-7;2;2018-07-27;21.589531;69.017545;42;;;;
335;REKE-8;2;2018-07-27;21.589155;69.017593;38;;;;
336;REKE-9;2;2018-07-27;21.589085;69.017693;39;;;;
337;REKE-11;2;2018-07-27;21.588982;69.01787;38;;;;
338;REKE-12;2;2018-07-27;21.588737;69.017754;40;;;;
339;REKE-13;2;2018-07-27;21.588304;69.017704;34;;;;
340;REKE-14;2;2018-07-27;21.588345;69.017901;39;;;;
341;EKC-1;1;2018-07-25;22.260241;68.81853;48;;;;
342;EKC-2;1;2018-07-25;22.260366;68.818553;37;;;;
